Title,Artist,Genre,Year,Danceability,Energy,Valence,Acousticness,Popularity
Anything Could Happen,Ellie Goulding,dance pop,2013,70,78,38,43,52
Finally Found You,Enrique Iglesias,dance pop,2013,62,88,66,1,52
Pom Poms,Jonas Brothers,boy band,2013,68,98,90,7,52
#Beautiful,Mariah Carey,dance pop,2013,68,76,45,29,51
How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013,36,95,51,9,50
Crazy Kids (feat. will.i.am),Kesha,dance pop,2013,72,75,50,4,46
"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,2013,69,57,73,2,45
People Like Us,Kelly Clarkson,dance pop,2013,60,79,61,4,45
Overdose,Ciara,dance pop,2013,77,70,79,1,43
Right Now - Dyro Radio Edit,Rihanna,barbadian pop,2013,53,74,45,0,42
Give It 2 U,Robin Thicke,dance pop,2013,67,83,58,10,41
Foolish Games,Jewel,alaska indie,2013,51,34,7,23,36
Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,2013,71,84,66,16,35
Freak,Kelly Rowland,atl hip hop,2013,65,78,45,13,28
All of Me,John Legend,neo mellow,2014,42,26,33,92,86
Stay With Me,Sam Smith,pop,2014,42,42,18,59,85
Summer,Calvin Harris,dance pop,2014,60,86,74,2,80
"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,65,82,96,22,79
Rude,MAGIC!,pop,2014,77,76,93,4,79
Shake It Off,Taylor Swift,pop,2014,65,80,94,6,78
Dark Horse,Katy Perry,dance pop,2014,65,59,35,0,78
Hey Brother,Avicii,big room,2014,55,78,46,3,78
Maps,Maroon 5,pop,2014,74,71,88,2,78
Treasure,Bruno Mars,pop,2014,87,69,94,4,77
Let Her Go,Passenger,folk-pop,2014,51,54,24,39,77
Problem,Ariana Grande,dance pop,2014,66,81,63,2,75
Pompeii,Bastille,metropopolis,2014,68,72,57,8,73
Team,Lorde,art pop,2014,69,58,42,17,73
Love Me Again,John Newman,pop,2014,50,89,21,0,73
Latch,Disclosure,house,2014,50,73,52,2,72
Adore You,Miley Cyrus,dance pop,2014,58,66,20,11,72
Love Never Felt So Good,Michael Jackson,pop,2014,78,72,71,13,71
Burn,Ellie Goulding,dance pop,2014,56,78,33,31,71
She Looks So Perfect,5 Seconds of Summer,boy band,2014,49,95,44,0,71
Fancy,Iggy Azalea,australian hip hop,2014,91,72,38,9,70
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014,76,65,76,3,68
Gorilla,Bruno Mars,pop,2014,72,54,64,45,68
human,Christina Perri,dance pop,2014,44,49,25,13,68
Young Girls,Bruno Mars,pop,2014,56,75,50,46,67
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014,70,62,72,8,67
Love Runs Out,OneRepublic,dance pop,2014,72,93,74,17,66
This Is How We Do,Katy Perry,dance pop,2014,69,64,80,2,66
Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,2014,71,92,98,0,65
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2014,76,62,52,1,65
#SELFIE,The Chainsmokers,electropop,2014,79,92,66,1,65
Partition,Beyoncé,dance pop,2014,41,44,17,3,65
Birthday,Katy Perry,dance pop,2014,72,67,84,9,65
G.U.Y.,Lady Gaga,dance pop,2014,62,92,57,1,65
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2014,60,74,46,11,64
"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,2014,50,66,25,3,63
Wings,Birdy,neo mellow,2014,47,71,22,8,62
Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,2014,69,81,82,12,62
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,2014,35,77,4,6,61
Say Something,A Great Big World,neo mellow,2014,45,15,9,87,61
A Sky Full of Stars,Coldplay,permanent wave,2014,55,68,16,1,60
Come Get It Bae,Pharrell Williams,dance pop,2014,93,80,90,27,59
Chandelier,Sia,australian dance,2014,29,78,62,2,56
XO,Beyoncé,dance pop,2014,47,79,21,17,56
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,2014,60,94,55,0,56
Not About Angels,Birdy,neo mellow,2014,41,14,23,97,56
Drunk in Love,Beyoncé,dance pop,2014,59,62,40,1,52
Anaconda,Nicki Minaj,dance pop,2014,96,60,65,7,50
Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,candy pop,2014,68,81,64,7,50
La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop,2014,80,82,61,18,50
Tee Shirt - Soundtrack Version,Birdy,neo mellow,2014,68,34,56,84,49
Words as Weapons,Birdy,neo mellow,2014,53,35,19,28,44
You're Mine (Eternal),Mariah Carey,dance pop,2014,63,58,56,28,38
Sheezus,Lily Allen,dance pop,2014,78,50,39,15,37
Cannonball,Lea Michele,hollywood,2014,56,82,57,2,37
It's On Again - Main Soundtrack,Alicia Keys,hip pop,2014,64,54,53,10,30
I Luh Ya Papi,Jennifer Lopez,dance pop,2014,74,73,59,45,28
Not a Bad Thing,Justin Timberlake,dance pop,2014,59,73,46,27,0
Thinking out Loud,Ed Sheeran,pop,2015,78,45,59,47,84
I'm Not The Only One,Sam Smith,pop,2015,68,49,49,53,84
The Hills,The Weeknd,canadian contemporary r&b,2015,58,56,14,7,84
Love Yourself,Justin Bieber,canadian pop,2015,61,38,52,84,83
Uptown Funk,Mark Ronson,dance pop,2015,86,61,93,1,82
Take Me To Church,Hozier,irish singer-songwriter,2015,57,66,44,63,81
Sugar,Maroon 5,pop,2015,75,79,88,6,81
Sorry,Justin Bieber,canadian pop,2015,65,76,41,8,81
FourFiveSeconds,Rihanna,barbadian pop,2015,58,27,35,88,80
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,26,61,28,25,79
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015,66,38,44,39,79
What Do You Mean?,Justin Bieber,canadian pop,2015,85,57,79,59,79
Stitches,Shawn Mendes,canadian pop,2015,75,75,76,2,78
Want to Want Me,Jason Derulo,dance pop,2015,78,68,66,1,77
My House,Flo Rida,dance pop,2015,69,70,74,2,77
Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015,83,51,45,1,77
Night Changes,One Direction,boy band,2015,67,52,37,86,77
How Deep Is Your Love,Calvin Harris,dance pop,2015,74,87,34,4,77
Never Forget You,Zara Larsson,dance pop,2015,58,73,28,0,77
Love Me Harder,Ariana Grande,dance pop,2015,47,71,24,1,76
Animals,Maroon 5,pop,2015,28,74,33,0,76
Blame,Calvin Harris,dance pop,2015,41,86,35,3,76
Worth It,Fifth Harmony,dance pop,2015,88,77,59,6,75
Break Free,Ariana Grande,dance pop,2015,69,70,28,1,75
Don't,Ed Sheeran,pop,2015,81,61,85,1,74
Elastic Heart,Sia,australian dance,2015,42,79,50,1,73
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,80,59,55,16,73
Hello,Adele,british soul,2015,48,45,29,34,73
Dear Future Husband,Meghan Trainor,dance pop,2015,66,78,83,38,72
43776,Beyoncé,dance pop,2015,75,71,56,1,72
